Cox Hall,1.5,2.5,16.7,31.4,48.0
Crave Restaurant Atlanta,19.6,10.5,8.4,13.3,48.3
Crawfish Shack Seafood,10.1,4.8,10.6,23.8,50.8
"Crazy ATLanta Travel BAR, Street Food & Event Venue",6.6,3.3,10.6,21.6,57.8
Crispina Ristorante & Pizzeria,5.0,5.0,5.0,13.9,71.0
Curfew ATL Restaurant & Lounge,12.5,12.5,12.5,0.0,62.5
Cuts Steakhouse,6.6,4.8,7.2,21.9,59.5
D&D Barbeque & Ribs,5.6,3.5,12.6,19.3,59.1
DRAGON EXPRESS,26.8,9.8,4.9,17.1,41.5
Daddy D'z BBQ Joynt,10.2,4.7,8.0,20.4,56.6
Dakota Blue,0.0,5.9,5.9,23.5,64.7
Dante's Down the Hatch,5.9,23.5,0.0,17.6,52.9
Debbie's Convenience Store & Soul Food,0.0,0.0,7.7,7.7,84.6
Dee's Cafe,0.0,0.0,0.0,25.0,75.0
Deja Vu Sports Bar & Lounge,6.5,6.5,6.5,12.9,67.7
Del Taco,7.1,6.0,12.3,24.8,49.9
Delbar Middle Eastern,2.9,1.3,2.1,7.1,86.6
Delia's Chicken Sausage Stand,1.5,2.0,5.2,21.7,69.6
Der Biergarten,3.2,2.2,7.7,27.2,59.7
Desi Spice Indian Cuisine,12.1,3.4,4.0,16.5,64.0
Desta Ethiopian Kitchen Emory Point,5.8,0.0,4.9,12.6,76.7
Dipped N Butter,19.4,2.8,8.3,25.0,44.4
Dire Grill,8.2,1.4,1.4,27.4,61.6
Divan Restaurant & Hookah Lounge,4.1,2.0,7.2,17.8,68.9
Dixie Q,1.4,3.5,7.4,22.8,64.9
Doa Vietnamese,0.0,0.0,0.0,0.0,100.0
Doc Green's Gourmet Salad And Sandwich Bar,12.4,4.0,7.6,19.6,56.4
Donnie's Country Cookin',10.0,4.5,12.9,26.9,45.8
Double Zero,3.2,2.7,5.6,21.7,66.8
Downtown Wings,0.0,0.0,0.0,100.0,0.0
Downwind Restaurant and Lounge,1.1,1.9,4.5,29.2,63.4
Dr. Bombay's Underwater Tea Party,4.4,2.6,5.5,19.0,68.4
Dragon Palace Restaurant,39.1,12.5,9.4,12.5,26.6
DrinkShop,0.0,0.0,40.0,40.0,20.0
Dua Hapeville,6.3,3.1,6.7,20.0,63.9
Dua Vietnamese Noodle Soup,5.3,1.4,3.1,22.4,67.8
ESCORPIÓN,3.8,3.5,10.1,32.9,49.7
East Wave Asian Fusion,4.2,3.1,11.5,27.1,54.2
EatMyTaco,50.0,16.7,0.0,0.0,33.3
Eats,2.6,2.5,5.5,21.6,67.8
Ecco Midtown,2.1,1.5,4.8,21.2,70.4
Eclipse di Luna,1.6,1.3,4.7,21.6,70.8
Eddie's Attic,1.7,1.4,4.7,15.8,76.3
Edgar's Proof & Provision,7.0,3.5,8.2,23.4,57.9
Einstein's,5.6,4.7,10.2,28.4,51.1
El Azteca,4.6,3.2,9.9,24.8,57.6
El Potro Mexican Restaurant,4.3,2.6,8.2,22.5,62.4
El Vinedo Local,0.0,0.0,0.0,4.0,96.0
Elbow Room,6.1,2.7,7.7,19.7,63.7
Eleventh Street Pub,1.6,1.6,8.7,20.0,68.1
Elleven45 Lounge,15.8,6.9,16.0,23.5,37.8
Elmyr,5.8,3.1,9.3,20.2,61.6
Elmyriachi,3.1,2.4,8.9,25.4,60.2
Embilta Cafe & Restaurant,1.7,0.4,2.1,14.6,81.2
Empire Sports Bar & Grill,13.3,6.7,6.7,13.3,60.0
Empire State South,2.9,3.8,8.0,24.0,61.2
Endive,0.0,0.0,0.0,1.8,98.2
Esco Seafood,17.6,10.8,17.6,12.7,41.2
Evangadi Restaurant Lounge,4.0,3.5,14.6,22.7,55.1
Everythang Nola,1.2,0.0,1.2,12.7,85.0
Extreme Teriyaki Grill Express,10.2,5.8,10.2,24.6,49.1
FIGO Pasta Food Truck - Edgewood,7.2,7.2,14.3,25.6,45.8
FIGO Pasta Vinings,8.1,5.8,9.5,23.0,53.6
FINA at Wild Heaven,15.4,30.8,7.7,7.7,38.5
Fado Irish Pub Midtown Atlanta,2.5,1.6,10.4,26.2,59.4
Fanplex,0.0,0.0,0.0,25.0,75.0
Farm Burger Buckhead,3.1,2.8,7.1,23.9,63.1
Farm Burger Midtown Atlanta,2.4,2.9,10.1,15.5,69.1
Farm to Ladle,16.3,10.2,8.2,24.5,40.8
Fellini's Pizza,2.4,1.7,5.7,22.3,67.8
Ferst Place,0.0,0.0,0.0,16.7,83.3
Fia Restaurant,1.7,0.0,0.0,6.7,91.7
Field Day,0.0,0.0,1.8,7.3,90.9
Fin & Feathers,6.1,3.2,6.9,16.0,67.7
Fire Hen,0.0,2.9,0.0,2.9,94.1
Firewall Food Stop,4.1,0.0,0.0,5.4,90.5
First Choice Cafe,6.0,3.0,1.5,16.4,73.1
First Watch,5.8,4.7,9.0,23.3,57.2
Fish Bowl Poke,4.3,1.4,5.8,18.7,69.8
Five Guys,4.8,3.2,9.6,25.0,57.4
Flower Child,5.1,0.7,3.6,13.4,77.2
Flying Biscuit Cafe,4.0,2.3,8.2,21.0,64.5
Flying Biscuit Cafe - Brookhaven,5.0,4.0,10.6,25.5,54.9
Flying Biscuit Cafe - Howell Mill Village,3.2,2.7,6.8,25.2,62.0
Flying Biscuit Café - Candler Park,3.4,2.6,8.0,21.1,64.9
Flying Biscuit Café - Midtown,5.5,4.4,9.2,22.5,58.3
Folk Art Restaurant Decatur,3.5,0.8,7.8,18.6,69.4
Fontaine's Oyster House,3.2,3.1,6.7,21.4,65.6
Food Terminal,1.6,1.6,6.5,18.2,72.1
Fortune Cookie Restaurant,9.2,6.2,6.6,16.1,61.9
Fox Bros. Bar-B-Q,2.0,1.6,5.0,17.3,74.2
Fox Bros. Bar-B-Q Westside,16.7,0.0,0.0,16.7,66.7
Foxtrot Liquor Bar,5.2,4.0,7.3,25.4,58.1
Foxx Original Jamaican Restaurant,10.6,5.2,8.6,15.5,60.1
Fresh 4 U,1.0,2.0,2.0,16.8,78.2
Fresh To Order - CNN Center,19.3,5.3,12.3,19.3,43.9
Fresh To Order - Decatur,2.5,3.0,7.5,23.9,63.1
Fresh To Order - Midtown,3.2,1.5,9.3,26.8,59.3
Fried Corn Evrythang,0.0,0.0,0.0,25.0,75.0
Front Page News -Permanently Closed,5.2,4.7,11.5,27.3,51.2
Frost Bistro,22.0,9.9,10.6,14.2,43.3
G's Midtown,5.3,0.6,11.8,22.5,59.8
Garden Parc Brunch & Events,2.5,1.3,4.5,12.1,79.6
Gato,3.8,2.1,5.9,16.0,72.2
Georgia Beer Garden,2.0,1.1,5.5,20.2,71.2
Georgia Boy,2.7,2.7,0.0,5.3,89.3
Get Fruity Cafe,11.7,5.1,8.0,12.4,62.8
Gibney's Pub,4.9,3.0,11.3,32.6,48.3
Gino's NY Pizza Bar,8.4,4.2,9.9,22.0,55.5
Ginya Izakaya,2.9,2.2,5.1,21.4,68.5
Girgiro Restorant,0.0,0.0,2.9,11.8,85.3
Girl Diver Atlanta,6.3,3.8,10.1,12.7,67.1
Gladys Knight's Signature Chicken & Waffles,43.5,12.9,8.2,13.5,21.8
Glenn's Kitchen,2.4,2.4,9.5,25.6,60.1
Gocha's Breakfast Bar,9.2,4.7,6.2,14.3,65.5
Goldbergs Fine Foods - Roswell,5.3,3.6,6.0,20.3,64.8
Goldbergs Fine Foods - Toco Hills,6.8,4.9,9.3,22.2,56.7
Goldbergs Fine Foods - West Paces,4.7,3.1,7.3,26.0,58.8
Golden Eagle,3.8,3.2,4.7,19.0,69.3
Golden Vibes Café,0.0,0.0,0.0,0.0,100.0
Gotham City Eatery,5.9,17.6,35.3,5.9,35.3
Graffiti Atlanta,8.3,0.0,0.0,4.2,87.5
Grana,2.5,3.3,8.0,11.6,74.6
Grand Champion BBQ,10.8,8.1,2.7,2.7,75.7
Grand Champion BBQ (Smyrna),0.0,0.0,0.0,0.0,100.0
Grand Lux Cafe,9.0,4.2,10.1,22.6,54.2
Grecian Gyro,6.9,0.7,2.8,16.6,73.1
Green Soma Vegan Cafe,2.8,4.5,3.4,15.8,73.4
Greenbriar Discount Mall,4.1,4.5,20.6,23.2,47.5
Grindhouse Killer Burgers,1.9,1.9,5.5,23.2,67.5
Grips Good Eats & Sweets,9.8,5.2,5.8,13.9,65.3
Grub Burger Bar,3.3,3.2,7.8,27.0,58.7
Grub Fresh Bowls & Wraps,11.5,7.7,5.8,11.5,63.5
Grub Truck Stop,0.0,0.0,0.0,12.5,87.5
Gullwing Club at Mercedes-Benz Stadium,14.3,0.0,0.0,14.3,71.4
Gunshow,2.8,3.1,6.2,10.5,77.4
Gus chicken,50.0,0.0,0.0,0.0,50.0
Gus’s World Famous Fried Chicken,6.8,4.4,7.9,20.3,60.6
Guthrie's,6.1,3.7,9.8,13.4,67.1
Gyro Bros,11.4,4.5,10.2,26.1,47.7
Gyu-kaku Japanese BBQ,9.3,4.1,5.2,19.6,61.8
