Canopy Court,0.0,0.0,0.0,66.7,33.3
Capital City Club,0.0,2.0,8.2,11.2,78.6
Carolyn's Gourmet Cafe,3.4,3.4,19.3,25.0,48.9
Carrabba's Italian Grill,6.9,4.7,9.4,27.3,51.7
Carroll Street Cafe,1.7,1.6,3.7,23.6,69.5
Carver's Country Kitchen,0.0,0.0,0.0,66.7,33.3
Catch 12,7.9,4.9,11.7,23.9,51.6
Chai Peking Chinese Restaurant,5.8,2.9,8.7,20.2,62.5
Chairs Upstairs Bar and Restaurant,4.0,2.7,8.5,23.2,61.5
Champs Chicken,6.7,6.7,13.3,26.7,46.7
Chanterelle's,0.0,6.7,0.0,26.7,66.7
Chappie Daddy's BBQ,0.0,0.0,0.0,0.0,100.0
Char Korean Bar & Grill,6.2,5.8,8.0,20.8,59.1
Chattahoochee Food Works,2.6,6.5,7.8,24.7,58.4
"CheeZies Pizza Atlanta, GA",12.5,0.0,37.5,37.5,12.5
Cheetah Lounge/ Alluvia Restaurant,23.9,4.9,9.8,12.7,48.8
Chef Chen,12.0,4.1,6.0,16.1,61.8
Chef’d Up Atl,22.4,10.3,8.6,13.8,44.8
Chic Restaurant & Lounge,14.3,0.0,14.3,14.3,57.1
Chic-A-Loes,5.4,3.1,7.6,22.9,61.0
Chicago Pizza & Sports Grille,4.0,3.0,7.8,24.7,60.5
Chick-a-Biddy,15.6,10.7,16.1,22.1,35.5
Chick-fil-A,9.2,3.9,8.4,17.7,60.8
Chili's Bar & Grill,22.6,10.4,12.8,17.7,36.6
Chili's Grill & Bar,14.2,8.4,14.2,22.9,40.3
Chin Chin at Howell Mill,10.4,5.6,12.4,20.7,51.0
China Express,10.9,5.1,7.7,25.6,50.6
China Moon Restaurant,17.0,5.2,7.4,25.2,45.2
China Taste,14.5,5.4,3.6,16.3,60.2
Chops & Lobster Bar,2.5,2.5,5.2,13.4,76.5
Chopt Creative Salad Co.,13.1,6.3,10.7,11.7,58.3
Chris' Caribbean Bistro,4.6,3.7,8.3,16.5,67.0
Cinco Mexican Cantina,6.8,6.9,9.7,26.5,50.1
CinéBistro,4.8,4.5,9.6,18.7,62.5
Circle Poke,2.1,0.5,4.1,8.8,84.5
Cirque Blu Seafood House,37.2,7.4,7.4,5.9,42.0
Cirque Daiquiri Bar & Grill,17.9,6.6,12.6,20.4,42.6
City Garden,50.0,0.0,25.0,0.0,25.0
City View Cafe,0.0,0.0,0.0,0.0,100.0
City Winery,16.6,10.7,11.9,17.8,43.0
Clean Juice,3.8,5.1,3.8,12.8,74.4
Clean Start Cleansing Atlanta,2.6,1.7,1.7,3.4,90.5
Clifton Cafe,25.0,0.0,12.5,25.0,37.5
Cold Beer,6.0,9.4,2.6,14.5,67.5
Cold Brew Bar at Atlanta Dairies,0.9,1.3,4.3,11.3,82.3
Community Q BBQ,2.1,2.0,3.9,18.3,73.8
Condesa Coffee,2.7,1.7,6.6,21.0,68.0
Continent Restaurant & Cigar Lounge,6.2,0.0,4.2,6.2,83.3
Cook Out,6.1,4.6,12.2,25.7,51.3
Cooks & Soldiers,1.7,1.7,3.3,13.0,80.3
Copeland's of New Orleans,5.0,3.5,8.2,22.1,61.2
Copper Cove Bistro,12.4,4.6,9.6,14.2,59.2
Coq et Oeufs,33.3,0.0,0.0,0.0,66.7
Cory’s spot,5.6,0.0,5.6,0.0,88.9
Courthouse Cafe,5.7,5.7,0.0,8.6,80.0
Cousin's Maine Lobster,10.4,10.0,9.1,19.5,51.1
Cox Hall,1.7,2.6,15.9,30.9,48.9
Crave Restaurant Atlanta,18.2,9.7,8.4,13.6,50.0
Crawfish Shack Seafood,9.7,4.6,10.4,23.6,51.7
"Crazy ATLanta Travel BAR, Street Food & Event Venue",6.7,3.0,10.1,22.0,58.2
Crispina Ristorante & Pizzeria,4.9,4.9,4.9,13.7,71.5
Curfew ATL Restaurant & Lounge,12.5,12.5,12.5,0.0,62.5
Cuts Steakhouse,6.3,4.8,7.1,20.6,61.3
D&D Barbeque & Ribs,5.2,2.9,12.2,19.0,60.7
DRAGON EXPRESS,25.8,9.7,4.3,17.2,43.0
Daddy D'z BBQ Joynt,10.2,4.6,8.4,20.2,56.6
Dakota Blue,0.0,5.6,5.6,22.2,66.7
